test	run1	run2	run3	verdict	cause
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[12]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[12]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testPointer(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
